name	code	region	sub_region	intermediate_region	Country_ID
Lesotho	LSO	Africa	Sub-Saharan Africa	Southern Africa	126
Liberia	LBR	Africa	Sub-Saharan Africa	Western Africa	127
Libya	LBY	Africa	Northern Africa		128
Liechtenstein	LIE	Europe	Western Europe		129
Lithuania	LTU	Europe	Northern Europe		130
Luxembourg	LUX	Europe	Western Europe		131
Macao	MAC	Asia	Eastern Asia		132
Macedonia (the former Yugoslav Republic of)	MKD	Europe	Southern Europe		133
Madagascar	MDG	Africa	Sub-Saharan Africa	Eastern Africa	134
Malawi	MWI	Africa	Sub-Saharan Africa	Eastern Africa	135
Malaysia	MYS	Asia	South-eastern Asia		136
Maldives	MDV	Asia	Southern Asia		137
Mali	MLI	Africa	Sub-Saharan Africa	Western Africa	138
Malta	MLT	Europe	Southern Europe		139
Marshall Islands	MHL	Oceania	Micronesia		140
Martinique	MTQ	Americas	Latin America and the Caribbean	Caribbean	141
Mauritania	MRT	Africa	Sub-Saharan Africa	Western Africa	142
Mauritius	MUS	Africa	Sub-Saharan Africa	Eastern Africa	143
Mayotte	MYT	Africa	Sub-Saharan Africa	Eastern Africa	144
Mexico	MEX	Americas	Latin America and the Caribbean	Central America	145
Micronesia (Federated States of)	FSM	Oceania	Micronesia		146
Moldova (Republic of)	MDA	Europe	Eastern Europe		147
Monaco	MCO	Europe	Western Europe		148
Mongolia	MNG	Asia	Eastern Asia		149
Montenegro	MNE	Europe	Southern Europe		150
Montserrat	MSR	Americas	Latin America and the Caribbean	Caribbean	151
Morocco	MAR	Africa	Northern Africa		152
Mozambique	MOZ	Africa	Sub-Saharan Africa	Eastern Africa	153
Myanmar	MMR	Asia	South-eastern Asia		154
Namibia	NAM	Africa	Sub-Saharan Africa	Southern Africa	155
Nauru	NRU	Oceania	Micronesia		156
Nepal	NPL	Asia	Southern Asia		157
Netherlands	NLD	Europe	Western Europe		158
New Caledonia	NCL	Oceania	Melanesia		159
New Zealand	NZL	Oceania	Australia and New Zealand		160
Nicaragua	NIC	Americas	Latin America and the Caribbean	Central America	161
Niger	NER	Africa	Sub-Saharan Africa	Western Africa	162
Nigeria	NGA	Africa	Sub-Saharan Africa	Western Africa	163
Niue	NIU	Oceania	Polynesia		164
Norfolk Island	NFK	Oceania	Australia and New Zealand		165
Northern Mariana Islands	MNP	Oceania	Micronesia		166
Norway	NOR	Europe	Northern Europe		167
Oman	OMN	Asia	Western Asia		168
Pakistan	PAK	Asia	Southern Asia		169
Palau	PLW	Oceania	Micronesia		170
"Palestine, State of"	PSE	Asia	Western Asia		171
Panama	PAN	Americas	Latin America and the Caribbean	Central America	172
Papua New Guinea	PNG	Oceania	Melanesia		173
Paraguay	PRY	Americas	Latin America and the Caribbean	South America	174
Peru	PER	Americas	Latin America and the Caribbean	South America	175
Philippines	PHL	Asia	South-eastern Asia		176
Pitcairn	PCN	Oceania	Polynesia		177
Poland	POL	Europe	Eastern Europe		178
Portugal	PRT	Europe	Southern Europe		179
Puerto Rico	PRI	Americas	Latin America and the Caribbean	Caribbean	180
Qatar	QAT	Asia	Western Asia		181
Reunion	REU	Africa	Sub-Saharan Africa	Eastern Africa	182
Romania	ROU	Europe	Eastern Europe		183
Russian Federation	RUS	Europe	Eastern Europe		184
Rwanda	RWA	Africa	Sub-Saharan Africa	Eastern Africa	185
Saint Barthélemy	BLM	Americas	Latin America and the Caribbean	Caribbean	186
"Saint Helena, Ascension and Tristan da Cunha"	SHN	Africa	Sub-Saharan Africa	Western Africa	187
Saint Kitts and Nevis	KNA	Americas	Latin America and the Caribbean	Caribbean	188
Saint Lucia	LCA	Americas	Latin America and the Caribbean	Caribbean	189
Saint Martin (French part)	MAF	Americas	Latin America and the Caribbean	Caribbean	190
Saint Pierre and Miquelon	SPM	Americas	Northern America		191
Saint Vincent and the Grenadines	VCT	Americas	Latin America and the Caribbean	Caribbean	192
Samoa	WSM	Oceania	Polynesia		193
San Marino	SMR	Europe	Southern Europe		194
