year	tournament	start_date	end_date	location	court_surface	prize_money	currency	masters	tournament_id
2012	kosice_challenger	6/11/2012	6/17/2012	Slovakia	Clay	30000	€	100	1
2011	copa-milo---chile-deportes-2011_itf_juniors0	2/14/2011	2/19/2011	CHI	Clay			0	2
2011	copa-milo---chile-deportes-2011_itf_juniors1	2/14/2011	2/19/2011	CHI	Clay			0	3
2017	1st-tajikistan-tennis-federation-cup_itf_juniors1	5/16/2017	5/21/2017	TJK	Hard			0	4
2011	jalisco-junior-cup-2011_itf_juniors0	2/14/2011	2/19/2011	MEX	Clay			0	5
2011	jalisco-junior-cup-2011_itf_juniors1	2/14/2011	2/19/2011	MEX	Clay			0	6
2005	prague_challenger	11/21/2005	11/27/2005	Czechia	Carpet	25000	$	100	7
2011	3rd-kenya-international-junior-championship_itf_juniors0	2/14/2011	2/19/2011	KEN	Clay			0	8
2017	itf-junior-circuit-mozambique-leg-1_itf_juniors0	5/22/2017	5/26/2017	MOZ	Hard			0	9
2011	3rd-kenya-international-junior-championship_itf_juniors1	2/14/2011	2/19/2011	KEN	Clay			0	10
2002	togliatti_challenger	7/15/2002	7/21/2002	Russian Federation	Hard	25000	$	100	11
2011	itf-4-indoor-almere-2011_itf_juniors0	2/15/2011	2/19/2011	NED	Hard			0	12
2017	itf-junior-circuit-mozambique-leg-1_itf_juniors1	5/22/2017	5/26/2017	MOZ	Hard			0	13
2011	itf-4-indoor-almere-2011_itf_juniors1	2/15/2011	2/19/2011	NED	Hard			0	14
1997	france-1-masters_itf_procircuit2	1/4/1997	2/2/1997	FRA	Clay			25	15
2011	trofeul-d-sturdza_itf_juniors0	2/15/2011	2/20/2011	MDA	Carpet			0	16
2012	5th-malacca-itf-international-tennis-championships-2012_itf_juniors0	2/27/2012	3/2/2012	MAS	Hard			0	17
2011	trofeul-d-sturdza_itf_juniors1	2/15/2011	2/20/2011	MDA	Carpet			0	18
2003	togliatti_challenger	7/14/2003	7/20/2003	Russian Federation	Hard	25000	$	100	19
2011	el-salvador-junior-open_itf_juniors0	2/21/2011	2/26/2011	ESA	Hard			0	20
2017	itf-tbilisi-cup-2017_itf_juniors0	5/22/2017	5/27/2017	GEO	Hard			0	21
2011	el-salvador-junior-open_itf_juniors1	2/21/2011	2/26/2011	ESA	Hard			0	22
2012	5th-malacca-itf-international-tennis-championships-2012_itf_juniors1	2/27/2012	3/2/2012	MAS	Hard			0	23
2011	argentina-cup_itf_juniors0	2/21/2011	2/26/2011	ARG	Clay			0	24
2011	argentina-cup_itf_juniors1	2/21/2011	2/26/2011	ARG	Clay			0	25
2003	mordovia_challenger	8/4/2003	8/10/2003	Russian Federation	Clay	25000	$	100	26
2011	aivaras-balzekas-memorial-cup-2011_itf_juniors0	2/22/2011	2/26/2011	LTU	Carpet			0	27
2013	wichita-falls_itf_juniors0	9/30/2013	10/5/2013	USA	Hard			0	28
1997	france-1-masters_itf_procircuit3	1/4/1997	2/2/1997	FRA	Clay			25	29
2013	wichita-falls_itf_juniors1	9/30/2013	10/5/2013	USA	Hard			0	30
2013	27º-arthrom-tennis-cup_itf_juniors0	9/30/2013	10/5/2013	BRA	Clay			0	31
2013	27º-arthrom-tennis-cup_itf_juniors1	9/30/2013	10/5/2013	BRA	Clay			0	32
1972	caracas	3/17/1972		Venezuela (Bolivarian Republic of)	Hard				33
2013	riad-21_itf_juniors0	9/30/2013	10/5/2013	MAR	Clay			0	34
2017	itf-tbilisi-cup-2017_itf_juniors1	5/22/2017	5/27/2017	GEO	Hard			0	35
2013	kaohsiung_challenger	9/16/2013	9/22/2013	"Taiwan, Province of China"	Hard	125000	$	100	36
2013	riad-21_itf_juniors1	9/30/2013	10/5/2013	MAR	Clay			0	37
1997	france-1-masters_itf_procircuit0	1/4/1997	2/2/1997	FRA	Clay			25	38
2015	kaohsiung_challenger	9/21/2015	9/27/2015	"Taiwan, Province of China"	Hard	125000	$	100	39
2015	16th-iran-junior-tournaments_itf_juniors1	9/28/2015	10/3/2015	IRI	Clay			0	40
2017	bishkek-open---1_itf_juniors0	5/22/2017	5/27/2017	KGZ	Clay			0	41
2006	surbiton_challenger	6/5/2006	6/11/2006	United Kingdom of Great Britain and Northern Ireland	Grass	50000	$	100	42
2015	londrina-juniors-cup_itf_juniors0	9/28/2015	10/3/2015	BRA	Clay			0	43
1997	france-1-masters_itf_procircuit1	1/4/1997	2/2/1997	FRA	Clay			25	44
2017	bishkek-open---1_itf_juniors1	5/22/2017	5/27/2017	KGZ	Clay			0	45
2015	londrina-juniors-cup_itf_juniors1	9/28/2015	10/3/2015	BRA	Clay			0	46
2007	surbiton_challenger	6/4/2007	6/10/2007	United Kingdom of Great Britain and Northern Ireland	Grass	50000	$	100	47
2015	2015-yanggu-international-tennis-championships_itf_juniors0	9/28/2015	10/4/2015	KOR	Hard			0	48
2017	chuquiago-junior-open-2017_itf_juniors0	5/22/2017	5/27/2017	BOL	Clay			0	49
2004	ukraine-f1-futures_itf_procircuit0	6/21/2004	6/27/2004	UKR	Clay			25	50
1997	italy-1-masters_itf_procircuit0	1/4/1997	2/2/1997	ITA	Carpet			25	51
1997	italy-1-masters_itf_procircuit1	1/4/1997	2/2/1997	ITA	Carpet			25	52
1997	italy-1-masters_itf_procircuit2	1/4/1997	2/2/1997	ITA	Carpet			25	53
1997	italy-1-masters_itf_procircuit3	1/4/1997	2/2/1997	ITA	Carpet			25	54
1997	central-america-masters_itf_procircuit2	1/4/1997	2/2/1997	PAN	Clay			25	55
2000	netherlands-f1-futures_itf_procircuit0	8/28/2000	9/3/2000	NED	Clay			25	56
2009	usa-f20-futures_itf_procircuit0	8/3/2009	8/9/2009	USA	Hard			25	57
2004	usa-f15-futures_itf_procircuit0	6/21/2004	6/27/2004	USA	Hard			25	58
2000	spain-f8-futures_itf_procircuit0	8/28/2000	9/3/2000	ESP	Clay			25	59
2009	iran-f6-futures_itf_procircuit0	8/10/2009	8/14/2009	IRI	Clay			25	60
2008	italy-f27-futures_itf_procircuit0	8/18/2008	8/24/2008	ITA	Clay			25	61
2009	colombia-f3-futures_itf_procircuit0	8/10/2009	8/16/2009	COL	Clay			25	62
2010	india-f3-futures_itf_procircuit0	3/29/2010	4/4/2010	IND	Hard			25	63
2008	netherlands-f4-futures_itf_procircuit0	8/18/2008	8/24/2008	NED	Clay			25	64
2010	croatia-f3-futures_itf_procircuit0	3/29/2010	4/4/2010	CRO	Clay			25	65
2010	turkey-f6-futures_itf_procircuit0	4/5/2010	4/11/2010	TUR	Clay			25	66
2010	china-f4-futures_itf_procircuit0	4/12/2010	4/18/2010	CHN	Hard			25	67
2010	uzbekistan-f1-futures_itf_procircuit0	4/19/2010	4/25/2010	UZB	Hard			25	68
2010	romania-f1-futures_itf_procircuit0	5/17/2010	5/23/2010	ROU	Clay			25	69
2010	spain-f17-futures_itf_procircuit0	5/17/2010	5/23/2010	ESP	Clay			25	70
2010	italy-f10-futures_itf_procircuit0	5/24/2010	5/30/2010	ITA	Clay			25	71
2014	egypt-f17-futures_itf_procircuit0	5/5/2014	5/11/2014	EGY	Clay			25	72
2008	itf-luzern-junior-competition_itf_juniors1	9/16/2008	9/21/2008	SUI	Clay			0	73
2018	vancouver_challenger	8/13/2018	8/19/2018	Canada	Hard	100000	$	100	74
2018	cordenons_challenger	8/13/2018	8/19/2018	Italy	Clay	64000	€	100	75
2010	loughborough_challenger	11/8/2010	11/14/2010	United Kingdom of Great Britain and Northern Ireland	Hard	42500	€	100	76
2015	washington	8/3/2015	8/9/2015	USA	Hard	1508815	$	500	77
2013	tokyo	9/30/2013	10/6/2013	Japan	Hard	1297000	$	500	78
2014	kuala-lumpur	9/22/2014	9/28/2014	Malaysia	Hard	910520	$	250	79
2015	kitzbuhel	8/3/2015	8/8/2015	Austria	Clay	439405	€	250	80
2013	shanghai	10/7/2013	10/13/2013	China	Hard	3849445	$	1000	81
2014	shenzhen	9/22/2014	9/28/2014	China	Hard	590230	$	250	82
2011	aivaras-balzekas-memorial-cup-2011_itf_juniors1	2/22/2011	2/26/2011	LTU	Carpet			0	83
2015	montreal	8/10/2015	8/16/2015	Canada	Hard	3587490	$	1000	84
2013	stockholm	10/14/2013	10/20/2013	Sweden	Hard	530165	€	250	85
2014	beijing	9/29/2014	10/5/2014	China	Hard	2500470	$	500	86
2014	tokyo	9/29/2014	10/5/2014	Japan	Hard	1228825	$	500	87
2015	cincinnati	8/16/2015	8/23/2015	USA	Hard	3826655	$	1000	88
2013	vienna	10/14/2013	10/20/2013	Austria	Hard	501355	€	250	89
2014	shanghai	10/5/2014	10/12/2014	China	Hard	4195895	$	1000	90
2013	valencia	10/21/2013	10/27/2013	Spain	Hard	1496095	€	500	91
2015	winston-salem	8/23/2015	8/30/2015	USA	Hard	616210	$	250	92
2015	us-open	8/31/2015	9/13/2015	USA	Hard	19852700	$	2000	93
2013	basel	10/21/2013	10/27/2013	Switzerland	Hard	1445835	€	500	94
2015	beijing	10/5/2015	10/11/2015	China	Hard	2700510	$	500	95
2015	tokyo	10/5/2015	10/11/2015	Japan	Hard	1263045	$	500	96
2015	shanghai	10/11/2015	10/18/2015	China	Hard	4783320	$	1000	97
2015	vienna	10/19/2015	10/25/2015	Austria	Hard	1745040	€	500	98
2015	stockholm	10/19/2015	10/25/2015	Sweden	Hard	537050	€	250	99
2015	basel	10/26/2015	11/1/2015	Switzerland	Hard	1575295	€	500	100
2015	paris	11/2/2015	11/8/2015	France	Hard	3288530	€	1000	101
2017	sofia	2/6/2017	2/12/2017	Bulgaria	Hard	482060	€	250	102
2017	rotterdam	2/13/2017	2/19/2017	Netherlands	Hard	1724930	€	500	103
2011	itf/cat-north-african-circuit_itf_juniors0	2/22/2011	2/26/2011	ALG	Clay			0	104
2016	dubai	2/22/2016	2/27/2016	UAE	Hard	2249215	$	500	105
2017	memphis	2/13/2017	2/19/2017	USA	Hard	642750	$	250	106
2016	acapulco	2/22/2016	2/27/2016	Mexico	Hard	1413600	$	500	107
2017	buenos-aires	2/13/2017	2/19/2017	Argentina	Clay	546680	$	250	108
2017	rio-de-janeiro	2/20/2017	2/26/2017	Brazil	Clay	1461560	$	500	109
2016	sao-paulo	2/22/2016	2/28/2016	Brazil	Clay	436220	$	250	110
2017	marseille	2/20/2017	2/26/2017	France	Hard	620660	€	250	111
2016	indian-wells	3/10/2016	3/20/2016	USA	Hard	6134605	$	1000	112
2017	delray-beach	2/20/2017	2/26/2017	USA	Hard	534625	$	250	113
2017	miami	3/22/2017	4/2/2017	USA	Hard	6993450	$	1000	114
2016	barcelona	4/18/2016	4/24/2016	Spain	Clay	2152690	€	500	115
2016	bucharest	4/18/2016	4/24/2016	Romania	Clay	463520	€	250	116
2016	estoril	4/25/2016	5/1/2016	Portugal	Clay	463520	€	250	117
2017	houston	4/10/2017	4/16/2017	USA	Clay	535625	$	250	118
2017	marrakech	4/10/2017	4/16/2017	Morocco	Clay	482060	€	250	119
2016	munich	4/25/2016	5/1/2016	Germany	Clay	463520	€	250	120
2017	monte-carlo	4/16/2017	4/23/2017	Monaco	Clay	4273775	€	1000	121
2016	istanbul	4/25/2016	5/1/2016	Turkey	Clay	426530	€	250	122
2016	madrid	5/1/2016	5/8/2016	Spain	Clay	4771360	€	1000	123
2017	barcelona	4/24/2017	4/30/2017	Spain	Clay	2324905	€	500	124
2017	budapest	4/24/2017	4/30/2017	Hungary	Clay	482060	€	250	125
2016	rome	5/8/2016	5/15/2016	Italy	Clay	3748925	€	1000	126
2016	geneva	5/15/2016	5/21/2016	Switzerland	Clay	499645	€	250	127
2011	itf/cat-north-african-circuit_itf_juniors1	2/22/2011	2/26/2011	ALG	Clay			0	128
2015	sanchez-casal-junior-cup-2015_itf_juniors0	10/5/2015	10/10/2015	ESP	Clay			0	129
2007	st-brieuc_challenger	3/26/2007	4/1/2007	France	Hard	25000	$	100	130
2015	glasgow_challenger	2/2/2015	2/8/2015	United Kingdom of Great Britain and Northern Ireland	Hard	42500	€	100	131
2013	nottingham_challenger	6/4/2013	6/9/2013	United Kingdom of Great Britain and Northern Ireland	Grass	64000	€	100	132
2014	nottingham_challenger	6/3/2014	6/8/2014	United Kingdom of Great Britain and Northern Ireland	Grass	64000	€	100	133
2000	dominican-republic-f1-futures_itf_procircuit0	8/28/2000	9/3/2000	DOM	Clay			25	134
2015	sanchez-casal-junior-cup-2015_itf_juniors1	10/5/2015	10/10/2015	ESP	Clay			0	135
2014	nottingham_challenger	6/9/2014	6/15/2014	United Kingdom of Great Britain and Northern Ireland	Grass	64000	€	100	136
2017	stuttgart	6/12/2017	6/18/2017	Germany	Grass	630785	€	250	137
2015	surbiton_challenger	6/8/2015	6/14/2015	United Kingdom of Great Britain and Northern Ireland	Grass	42500	€	100	138
2015	ilkley_challenger	6/15/2015	6/20/2015	United Kingdom of Great Britain and Northern Ireland	Grass	42500	€	100	139
2017	s-hertogenbosch	6/12/2017	6/18/2017	Netherlands	Grass	589185	€	250	140
2015	copa-santa-catarina-de-tenis_itf_juniors0	10/5/2015	10/10/2015	BRA	Clay			0	141
2017	halle	6/19/2017	6/25/2017	Germany	Grass	1836660	€	500	142
2000	peru-f1-futures_itf_procircuit0	8/28/2000	9/3/2000	PER	Clay			25	143
2010	china-f5-futures_itf_procircuit0	5/31/2010	6/6/2010	CHN	Hard			25	144
2018	italy-f20-futures_itf_procircuit0	7/23/2018	7/29/2018	ITA	Clay			25	145
2008	argentina-f10-futures_itf_procircuit0	9/8/2008	9/14/2008	ARG	Clay			25	146
2010	spain-f19-futures_itf_procircuit0	5/31/2010	6/6/2010	ESP	Hard			25	147
2014	great-britain-f11-futures_itf_procircuit0	5/5/2014	5/11/2014	GBR	Clay			25	148
2014	israel-f5-futures_itf_procircuit0	5/5/2014	5/11/2014	ISR	Hard			25	149
2011	bavarian-junior-championships_itf_juniors0	2/22/2011	2/27/2011	Germany	Carpet			0	150
2018	portugal-f12-futures_itf_procircuit0	7/23/2018	7/29/2018	POR	Clay			25	151
2007	san-luis-potosi_challenger	4/2/2007	4/8/2007	Mexico	Clay	50000	$	100	152
2007	tallahassee_challenger	4/2/2007	4/8/2007	USA	Clay	50000	$	100	153
2010	itf-junior-cup-copenhagen-indoor-2010_itf_juniors1	2/16/2010	2/20/2010	DEN	Hard			0	154
2018	newport-beach-itf_itf_juniors1	3/19/2018	3/24/2018	USA	Hard			0	155
2018	1st-qatar-itf-open-2018_itf_juniors0	3/19/2018	3/24/2018	QAT	Hard			0	156
2018	doha	1/1/2018	1/6/2018	Qatar	Hard	1286675	$	250	157
2018	pune	1/1/2018	1/6/2018	India	Hard	501345	$	250	158
2018	sydney	1/7/2018	1/13/2018	Australia	Hard	468910	$	250	159
2018	auckland	1/8/2018	1/13/2018	New Zealand	Hard	501345	$	250	160
2018	australian-open	1/15/2018	1/28/2018	Australia	Hard	25096000	A$	2000	161
2018	monte-carlo	4/15/2018	4/22/2018	Monaco	Clay	4872105	€	1000	162
2018	barcelona	4/23/2018	4/29/2018	Spain	Clay	2510900	€	500	163
2005	manchester_challenger	7/11/2005	7/17/2005	United Kingdom of Great Britain and Northern Ireland	Grass	25000	$	100	164
2006	manchester_challenger	7/17/2006	7/23/2006	United Kingdom of Great Britain and Northern Ireland	Grass	25000	$	100	165
2006	nottingham_challenger	7/24/2006	7/30/2006	United Kingdom of Great Britain and Northern Ireland	Grass	25000	$	100	166
2008	jersey_challenger	11/10/2008	11/16/2008	United Kingdom of Great Britain and Northern Ireland	Hard	30000	€	100	167
2012	nottingham_challenger	6/11/2012	6/17/2012	United Kingdom of Great Britain and Northern Ireland	Grass	64000	€	100	168
1970	bristol	6/8/1970	6/14/1970	United Kingdom of Great Britain and Northern Ireland	Grass	10600	£		169
1970	nottingham	6/8/1970	6/14/1970	United Kingdom of Great Britain and Northern Ireland	Grass				170
1970	beckenham	6/8/1970	6/14/1970	United Kingdom of Great Britain and Northern Ireland	Grass				171
1970	eastbourne	6/15/1970	6/21/1970	United Kingdom of Great Britain and Northern Ireland	Grass				172
1970	london	6/15/1970		United Kingdom of Great Britain and Northern Ireland	Grass				173
1970	wimbledon	6/22/1970		United Kingdom of Great Britain and Northern Ireland	Grass			2000	174
1971	bournemouth	5/22/1971		United Kingdom of Great Britain and Northern Ireland	Clay				175
1970	newport	7/5/1970	7/12/1970	United Kingdom of Great Britain and Northern Ireland	Grass				176
2013	yanggu-international-junior-tennis-championships-2013_itf_juniors0	9/30/2013	10/6/2013	KOR	Hard			0	177
1969	wembley	11/17/1969		United Kingdom of Great Britain and Northern Ireland	Hard				178
1971	bristol	6/11/1971		United Kingdom of Great Britain and Northern Ireland	Grass				179
1971	eastbourne	6/14/1971	6/20/1971	United Kingdom of Great Britain and Northern Ireland	Grass				180
1971	london	6/14/1971		United Kingdom of Great Britain and Northern Ireland	Grass				181
1973	london	1/18/1973		United Kingdom of Great Britain and Northern Ireland	Hard	50000	$		182
1971	wimbledon	6/21/1971		United Kingdom of Great Britain and Northern Ireland	Grass			2000	183
1990	croydon_challenger	2/12/1990	2/18/1990	United Kingdom of Great Britain and Northern Ireland	Hard	50000	$	100	184
1989	manchester_challenger	6/12/1989	6/18/1989	United Kingdom of Great Britain and Northern Ireland	Grass	25000	$	100	185
1991	telford_challenger	2/4/1991	2/10/1991	United Kingdom of Great Britain and Northern Ireland	Grass	50000	$	100	186
1990	bristol_challenger	7/16/1990	7/22/1990	United Kingdom of Great Britain and Northern Ireland	Grass	50000	$	100	187
2011	itf-east-africa-circuit---kenya_itf_juniors0	2/22/2011	2/27/2011	KEN	Clay			0	188
1991	bristol_challenger	7/8/1991	7/14/1991	United Kingdom of Great Britain and Northern Ireland	Grass	50000	$	100	189
1991	newcastle_challenger	7/15/1991	7/21/1991	United Kingdom of Great Britain and Northern Ireland	Clay	50000	$	100	190
1992	bristol_challenger	7/6/1992	7/12/1992	United Kingdom of Great Britain and Northern Ireland	Grass	50000	$	100	191
2011	itf-east-africa-circuit---kenya_itf_juniors1	2/22/2011	2/27/2011	KEN	Clay			0	192
2013	yanggu-international-junior-tennis-championships-2013_itf_juniors1	9/30/2013	10/6/2013	KOR	Hard			0	193
2013	gosford-junior-international_itf_juniors0	10/1/2013	10/6/2013	AUS	Hard			0	194
2000	poland-f4-futures_itf_procircuit0	8/28/2000	9/3/2000	POL	Clay			25	195
2010	argentina-f7-futures_itf_procircuit0	5/31/2010	6/6/2010	ARG	Clay			25	196
2005	ljubljana_challenger	5/23/2005	6/5/2005	Slovenia	Clay	25000	$	100	197
1953	us-championships	8/29/1953	9/7/1953	USA	Hard			2000	198
2015	copa-santa-catarina-de-tenis_itf_juniors1	10/5/2015	10/10/2015	BRA	Clay			0	199
2012	32nd-asuncion-bowl_itf_juniors1	3/5/2012	3/10/2012	PAR	Clay			0	200
1950	us-championships	8/25/1950	9/5/1950	USA	Hard			2000	201
2013	gosford-junior-international_itf_juniors1	10/1/2013	10/6/2013	AUS	Hard			0	202
2012	almetievsk-open_itf_juniors0	3/6/2012	3/10/2012	RUS	Hard			0	203
2015	jurmala-open_itf_juniors0	10/5/2015	10/10/2015	LAT	Hard			0	204
2018	indian-wells-ca-usa_challenger	2/26/2018	3/4/2018	USA	Hard	150000	$	100	205
2013	itf-juniors-international-championship_itf_juniors0	10/7/2013	10/12/2013	MAS	Hard			0	206
2012	almetievsk-open_itf_juniors1	3/6/2012	3/10/2012	RUS	Hard			0	207
2017	los-cabos	7/31/2017	8/5/2017	Mexico	Hard	637395	$	250	208
2015	jurmala-open_itf_juniors1	10/5/2015	10/10/2015	LAT	Hard			0	209
2012	45th-brunei-itf-junior-circuit_itf_juniors0	3/6/2012	3/11/2012	BRU	Hard			0	210
2013	itf-juniors-international-championship_itf_juniors1	10/7/2013	10/12/2013	MAS	Hard			0	211
2012	45th-brunei-itf-junior-circuit_itf_juniors1	3/6/2012	3/11/2012	BRU	Hard			0	212
2016	bastad	7/11/2016	7/17/2016	Sweden	Clay	463520	€	250	213
2015	wichita-falls-itf_itf_juniors0	10/5/2015	10/11/2015	USA	Hard			0	214
2011	riaan-venter-junior-itf_itf_juniors0	2/28/2011	3/4/2011	RSA	Hard			0	215
2012	china-junior-4-chengdu_itf_juniors0	3/6/2012	3/11/2012	CHN	Hard			0	216
2011	riaan-venter-junior-itf_itf_juniors1	2/28/2011	3/4/2011	RSA	Hard			0	217
2016	washington	7/18/2016	7/24/2016	USA	Hard	1629475	$	500	218
2000	czech-republic-f1-futures_itf_procircuit0	9/4/2000	9/10/2000	CZE	Clay			25	219
2012	china-junior-4-chengdu_itf_juniors1	3/6/2012	3/11/2012	CHN	Hard			0	220
2015	wichita-falls-itf_itf_juniors1	10/5/2015	10/11/2015	USA	Hard			0	221
2018	china-junior-5-grade-4_itf_juniors1	3/20/2018	3/25/2018	CHN	Hard			0	222
2016	gstaad	7/18/2016	7/24/2016	Switzerland	Clay	463520	€	250	223
2012	nwu-pukke/rvta-junior-itf-2_itf_juniors0	3/12/2012	3/16/2012	RSA	Hard			0	224
2013	el-sauce-cup_itf_juniors0	10/7/2013	10/12/2013	ARG	Clay			0	225
2016	kitzbuhel	7/18/2016	7/23/2016	Austria	Clay	463520	€	250	226
2013	el-sauce-cup_itf_juniors1	10/7/2013	10/12/2013	ARG	Clay			0	227
2016	umag	7/18/2016	7/24/2016	Croatia	Clay	463520	€	250	228
2015	itf-junior-circuit-week-1_itf_juniors0	10/5/2015	10/11/2015	SRI	Clay			0	229
2013	sanchez-casal-junior-cup_itf_juniors0	10/7/2013	10/12/2013	ESP	Clay			0	230
2010	brazil-f16-futures_itf_procircuit0	7/19/2010	7/25/2010	BRA	Clay			25	231
1994	great-britain-1-masters_itf_procircuit0	2/7/1994	3/4/1994	GBR	Carpet			25	232
2000	poland-f5-futures_itf_procircuit0	9/4/2000	9/10/2000	POL	Clay			25	233
2017	hamburg	7/24/2017	7/30/2017	Germany	Clay	1499940	€	500	234
2001	brazil-f8-futures_itf_procircuit0	11/5/2001	11/11/2001	BRA	Clay			25	235
2017	atlanta	7/24/2017	7/30/2017	USA	Hard	642750	$	250	236
2000	czech-republic-f2-futures_itf_procircuit0	9/11/2000	9/17/2000	CZE	Clay			25	237
2000	france-f17-futures_itf_procircuit0	9/11/2000	9/17/2000	FRA	Hard			25	238
2000	romania-f2-futures_itf_procircuit0	9/11/2000	9/17/2000	ROU	Clay			25	239
2000	usa-f22a-futures_itf_procircuit0	9/11/2000	9/17/2000	USA	Clay			25	240
2010	bosnia-&-herzegovina-f7-futures_itf_procircuit0	5/31/2010	6/6/2010	BIH	Clay			25	241
2008	poland-f5-futures_itf_procircuit0	8/18/2008	8/24/2008	POL	Clay			25	242
2010	tunisia-f1-futures_itf_procircuit0	5/31/2010	6/6/2010	TUN	Clay			25	243
2017	gstaad	7/24/2017	7/30/2017	Switzerland	Clay	482060	€	250	244
2008	russia-f4-futures_itf_procircuit0	8/18/2008	8/24/2008	RUS	Clay			25	245
2017	washington	7/31/2017	8/6/2017	USA	Hard	1750080	$	500	246
2010	spain-f20-futures_itf_procircuit0	6/7/2010	6/13/2010	ESP	Carpet			25	247
2004	india-1_itf_procircuit3	6/7/2004	7/4/2004	IND	Hard			25	248
2004	india-1_itf_procircuit0	6/7/2004	7/4/2004	IND	Hard			25	249
2004	india-1_itf_procircuit1	6/7/2004	7/4/2004	IND	Hard			25	250
2017	kitzbuhel	7/31/2017	8/5/2017	Austria	Clay	482060	€	250	251
2004	india-1_itf_procircuit2	6/7/2004	7/4/2004	IND	Hard			25	252
2010	usa-f13-futures_itf_procircuit0	6/7/2010	6/13/2010	USA	Hard			25	253
2017	montreal	8/7/2017	8/13/2017	Canada	Hard	4662300	$	1000	254
2010	morocco-f5-futures_itf_procircuit0	6/28/2010	7/4/2010	MAR	Clay			25	255
2010	romania-f8-futures_itf_procircuit0	7/19/2010	7/25/2010	ROU	Clay			25	256
2010	croatia-f4-futures_itf_procircuit0	8/16/2010	8/22/2010	CRO	Clay			25	257
2010	latvia-f1-futures_itf_procircuit0	8/16/2010	8/22/2010	LAT	Clay			25	258
2014	italy-f13-futures_itf_procircuit0	5/5/2014	5/11/2014	ITA	Clay			25	259
2018	austria-f4-futures_itf_procircuit0	7/23/2018	7/29/2018	AUT	Clay			25	260
2008	atlanta-itf_itf_juniors0	9/22/2008	9/28/2008	USA	Hard			0	261
2018	roland-garros	5/27/2018	6/10/2018	France	Clay	18232000	€	2000	262
2008	atlanta-itf_itf_juniors1	9/22/2008	9/28/2008	USA	Hard			0	263
2018	stuttgart	6/11/2018	6/17/2018	Germany	Grass	656015	€	250	264
2018	s-hertogenbosch	6/11/2018	6/17/2018	Netherlands	Grass	612755	€	250	265
2011	4th-itf-malacca-international-junior-championship_itf_juniors0	2/28/2011	3/4/2011	MAS	Hard			0	266
2011	4th-itf-malacca-international-junior-championship_itf_juniors1	2/28/2011	3/4/2011	MAS	Hard			0	267
2011	copa-universidad-galileo_itf_juniors0	2/28/2011	3/5/2011	GUA	Hard			0	268
2011	copa-universidad-galileo_itf_juniors1	2/28/2011	3/5/2011	GUA	Hard			0	269
2015	itf-junior-circuit-week-1_itf_juniors1	10/5/2015	10/11/2015	SRI	Clay			0	270
2011	uruguay-bowl_itf_juniors0	2/28/2011	3/6/2011	URU	Clay			0	271
2000	jamaica-f1-futures_itf_procircuit0	9/11/2000	9/17/2000	JAM	Hard			25	272
1951	us-championships	8/25/1951	9/5/1951	USA	Hard			2000	273
2011	uruguay-bowl_itf_juniors1	2/28/2011	3/6/2011	URU	Clay			0	274
1952	us-championships	8/29/1952	9/8/1952	USA	Hard			2000	275
2011	itf/cat-north-african-circuit_itf_juniors0	3/1/2011	3/5/2011	MAR	Clay			0	276
2015	ags-4-international-junior-championships-g4_itf_juniors0	10/6/2015	10/11/2015	INA	Hard			0	277
2011	itf/cat-north-african-circuit_itf_juniors1	3/1/2011	3/5/2011	MAR	Clay			0	278
2011	yeltsin-cup_itf_juniors0	3/1/2011	3/6/2011	RUS	Hard			0	279
2015	ags-4-international-junior-championships-g4_itf_juniors1	10/6/2015	10/11/2015	INA	Hard			0	280
2011	yeltsin-cup_itf_juniors1	3/1/2011	3/6/2011	RUS	Hard			0	281
2015	itf-waikato-bays-under-18s-championships-2015_itf_juniors0	10/6/2015	10/11/2015	NZL	Hard			0	282
2011	china-junior-3-shenzhen_itf_juniors0	3/1/2011	3/6/2011	CHN	Hard			0	283
2015	itf-waikato-bays-under-18s-championships-2015_itf_juniors1	10/6/2015	10/11/2015	NZL	Hard			0	284
2015	mian-chang-cup-international-junior-tennis-championships-2015_itf_juniors0	10/6/2015	10/11/2015	TPE	Hard			0	285
2015	mian-chang-cup-international-junior-tennis-championships-2015_itf_juniors1	10/6/2015	10/11/2015	TPE	Hard			0	286
2015	26th-sarawak-chief-minister's-cup-(ii)-itf-junior-circuit-(grade-3)_itf_juniors0	10/6/2015	10/11/2015	MAS	Hard			0	287
2015	26th-sarawak-chief-minister's-cup-(ii)-itf-junior-circuit-(grade-3)_itf_juniors1	10/6/2015	10/11/2015	MAS	Hard			0	288
2000	japan-f6-futures_itf_procircuit0	9/11/2000	9/17/2000	JPN	Hard			25	289
1997	spain-2-masters_itf_procircuit2	1/31/1997	3/2/1997	ESP	Clay			25	290
1997	spain-2-masters_itf_procircuit3	1/31/1997	3/2/1997	ESP	Clay			25	291
1997	spain-2-masters_itf_procircuit0	1/31/1997	3/2/1997	ESP	Clay			25	292
1997	spain-2-masters_itf_procircuit1	1/31/1997	3/2/1997	ESP	Clay			25	293
2000	norway-f1-futures_itf_procircuit0	9/11/2000	9/17/2000	NOR	Carpet			25	294
2001	mexico-f11-futures_itf_procircuit0	11/5/2001	11/11/2001	MEX	Hard			25	295
2000	peru-f3-futures_itf_procircuit0	9/11/2000	9/17/2000	PER	Clay			25	296
