year	tournament	start_date	end_date	location	court_surface	prize_money	currency	masters	tournament_id
2018	2nd-tajikistan-open-international-tournament_itf_juniors0	5/7/2018	5/12/2018	TJK	Hard			0	952
2018	2nd-tajikistan-open-international-tournament_itf_juniors1	5/7/2018	5/12/2018	TJK	Hard			0	953
2011	kenana-cup_itf_juniors0	4/27/2011	5/1/2011	BUL	Clay			0	954
2011	kenana-cup_itf_juniors1	4/27/2011	5/1/2011	BUL	Clay			0	955
2011	daytona-beach-itf_itf_juniors0	5/2/2011	5/8/2011	USA	Clay			0	956
2011	daytona-beach-itf_itf_juniors1	5/2/2011	5/8/2011	USA	Clay			0	957
2011	19th-international-junior-tournament-citta'-di-prato_itf_juniors0	5/3/2011	5/8/2011	ITA	Clay			0	958
2011	19th-international-junior-tournament-citta'-di-prato_itf_juniors1	5/3/2011	5/8/2011	ITA	Clay			0	959
2011	35th-sibiu-sen-junior-itf-tournament_itf_juniors0	5/3/2011	5/8/2011	ROU	Clay			0	960
2012	daytona-beach_itf_juniors1	4/30/2012	5/6/2012	USA	Clay			0	961
2011	35th-sibiu-sen-junior-itf-tournament_itf_juniors1	5/3/2011	5/8/2011	ROU	Clay			0	962
2011	gallipoli-youth-tennis-cup_itf_juniors0	5/3/2011	5/8/2011	AUS	Clay			0	963
2011	gallipoli-youth-tennis-cup_itf_juniors1	5/3/2011	5/8/2011	AUS	Clay			0	964
1997	spain-4-masters_itf_procircuit1	5/9/1997	6/8/1997	ESP	Clay			25	965
2011	enka-gallipoli-cup_itf_juniors0	5/9/2011	5/15/2011	TUR	Hard			0	966
2013	mian-chang-cup-international-junior-championships-2013_itf_juniors1	10/8/2013	10/13/2013	TPE	Hard			0	967
2011	enka-gallipoli-cup_itf_juniors1	5/9/2011	5/15/2011	TUR	Hard			0	968
2011	"33rd-torneo-internazionale-""citta'-di-santa-croce""-mauro-sabatini_itf_juniors0"	5/9/2011	5/15/2011	ITA	Clay			0	969
2011	"33rd-torneo-internazionale-""citta'-di-santa-croce""-mauro-sabatini_itf_juniors1"	5/9/2011	5/15/2011	ITA	Clay			0	970
2013	new-south-wales-junior-international_itf_juniors0	10/8/2013	10/13/2013	AUS	Hard			0	971
2011	plantation-itf_itf_juniors0	5/9/2011	5/15/2011	USA	Clay			0	972
2011	plantation-itf_itf_juniors1	5/9/2011	5/15/2011	USA	Clay			0	973
2013	new-south-wales-junior-international_itf_juniors1	10/8/2013	10/13/2013	AUS	Hard			0	974
2011	panaceo-itf-junior-cup-2011_itf_juniors0	5/10/2011	5/14/2011	AUT	Clay			0	975
2011	panaceo-itf-junior-cup-2011_itf_juniors1	5/10/2011	5/14/2011	AUT	Clay			0	976
2011	instirig-cup_itf_juniors0	5/10/2011	5/15/2011	ROU	Clay			0	977
2013	jakarta-international-junior-championships_itf_juniors0	10/8/2013	10/13/2013	INA	Hard			0	978
2011	instirig-cup_itf_juniors1	5/10/2011	5/15/2011	ROU	Clay			0	979
2011	china-junior-7---tianjin_itf_juniors0	5/10/2011	5/15/2011	CHN	Hard			0	980
2011	china-junior-7---tianjin_itf_juniors1	5/10/2011	5/15/2011	CHN	Hard			0	981
2013	sas-junior-itf-1_itf_juniors0	10/14/2013	10/18/2013	RSA	Hard			0	982
2011	tsz-cup_itf_juniors0	5/16/2011	5/20/2011	RUS	Hard			0	983
2011	tsz-cup_itf_juniors1	5/16/2011	5/20/2011	RUS	Hard			0	984
1997	spain-4-masters_itf_procircuit2	5/9/1997	6/8/1997	ESP	Clay			25	985
2013	sas-junior-itf-1_itf_juniors1	10/14/2013	10/18/2013	RSA	Hard			0	986
2018	26th-torneo-internazionale-città-di-prato_itf_juniors1	5/8/2018	5/13/2018	ITA	Clay			0	987
2013	national-bank-itf-u18_itf_juniors0	10/14/2013	10/18/2013	CAN	Hard			0	988
2013	national-bank-itf-u18_itf_juniors1	10/14/2013	10/18/2013	CAN	Hard			0	989
1997	spain-4-masters_itf_procircuit3	5/9/1997	6/8/1997	ESP	Clay			25	990
2013	dunlop-japan-open-junior-championships_itf_juniors0	10/14/2013	10/19/2013	JPN	Carpet			0	991
2013	dunlop-japan-open-junior-championships_itf_juniors1	10/14/2013	10/19/2013	JPN	Carpet			0	992
2013	hrt-autumn-cup_itf_juniors0	10/14/2013	10/19/2013	DEN	Hard			0	993
1997	spain-4-masters_itf_procircuit0	5/9/1997	6/8/1997	ESP	Clay			25	994
2013	hrt-autumn-cup_itf_juniors1	10/14/2013	10/19/2013	DEN	Hard			0	995
2013	itf-junior-circuit---week-2_itf_juniors0	10/14/2013	10/20/2013	SRI	Clay			0	996
2007	estoril	4/29/2007	5/6/2007	Portugal	Clay	600000	$		997
2000	indonesia-f5-futures_itf_procircuit0	10/23/2000	10/28/2000	INA	Hard			25	998
2004	chile-f1b-futures_itf_procircuit0	8/9/2004	8/15/2004	CHI	Clay			25	999
2000	jamaica-f3-futures_itf_procircuit0	10/23/2000	10/29/2000	JAM	Hard			25	1000
1997	australia-2-masters_itf_procircuit3	5/10/1997	6/7/1997	AUS	Hard			25	1001
1997	australia-2-masters_itf_procircuit0	5/10/1997	6/7/1997	AUS	Hard			25	1002
1997	australia-2-masters_itf_procircuit1	5/10/1997	6/7/1997	AUS	Hard			25	1003
1997	australia-2-masters_itf_procircuit2	5/10/1997	6/7/1997	AUS	Hard			25	1004
2004	great-britain-f4-futures_itf_procircuit0	8/9/2004	8/15/2004	GBR	Hard			25	1005
2000	usa-f24-futures_itf_procircuit0	10/23/2000	10/29/2000	USA	Hard			25	1006
2001	germany-f4-futures_itf_procircuit0	6/4/2001	6/10/2001	Germany	Clay			25	1007
2008	rwanda-f1-futures_itf_procircuit0	9/15/2008	9/21/2008	RWA	Clay			25	1008
2004	iran-f2-futures_itf_procircuit0	8/9/2004	8/15/2004	IRI	Clay			25	1009
2013	14th-gerry-weber-junior-open_itf_juniors1	6/18/2013	6/22/2013	Germany	Grass			0	1010
2005	germany-1-satellite_itf_procircuit0	10/3/2005	10/30/2005	Germany	Carpet			25	1011
2005	germany-1-satellite_itf_procircuit1	10/3/2005	10/30/2005	Germany	Carpet			25	1012
2006	cincinnati	8/14/2006	8/20/2006	USA	Hard	2200000	$	1000	1013
2006	new-haven	8/21/2006	8/27/2006	USA	Hard	650000	$		1014
2005	lyon	10/24/2005	10/30/2005	France	Hard	775000	$		1015
2008	san-jose	2/18/2008	2/24/2008	USA	Hard	411000	$		1016
2008	acapulco	2/25/2008	3/2/2008	Mexico	Hard	769000	$		1017
2011	south-africa-f2-futures_itf_procircuit0	5/23/2011	5/29/2011	RSA	Hard			25	1018
2000	finland-f2-futures_itf_procircuit0	10/23/2000	10/28/2000	FIN	Carpet			25	1019
2005	germany-1-satellite_itf_procircuit2	10/3/2005	10/30/2005	Germany	Carpet			25	1020
2013	itf-junior-circuit---week-2_itf_juniors1	10/14/2013	10/20/2013	SRI	Clay			0	1021
2018	2nd-tajikistan-tennis-federation-cup_itf_juniors0	5/14/2018	5/18/2018	TJK	Hard			0	1022
2018	2nd-tajikistan-tennis-federation-cup_itf_juniors1	5/14/2018	5/18/2018	TJK	Hard			0	1023
2011	asian-closed-junior-tennis-championships_itf_juniors0	5/16/2011	5/21/2011	IND	Hard			0	1024
2011	asian-closed-junior-tennis-championships_itf_juniors1	5/16/2011	5/21/2011	IND	Hard			0	1025
2015	tats-open-2015_itf_juniors0	10/27/2015	10/31/2015	FIN	Hard			0	1026
2011	nazmi-bari-cup-2011_itf_juniors0	5/16/2011	5/22/2011	TUR	Hard			0	1027
2011	nazmi-bari-cup-2011_itf_juniors1	5/16/2011	5/22/2011	TUR	Hard			0	1028
2011	52nd-trofeo-bonfiglio_itf_juniors0	5/16/2011	5/22/2011	ITA	Clay			0	1029
2015	tats-open-2015_itf_juniors1	10/27/2015	10/31/2015	FIN	Hard			0	1030
2011	52nd-trofeo-bonfiglio_itf_juniors1	5/16/2011	5/22/2011	ITA	Clay			0	1031
2011	delray-beach-itf_itf_juniors0	5/16/2011	5/22/2011	USA	Clay			0	1032
2011	delray-beach-itf_itf_juniors1	5/16/2011	5/22/2011	USA	Clay			0	1033
2012	29th-international-tournament-of-salsomaggiore_itf_juniors0	4/30/2012	5/6/2012	ITA	Clay			0	1034
2011	32nd-international-spring-bowl_itf_juniors0	5/17/2011	5/21/2011	AUT	Clay			0	1035
2011	32nd-international-spring-bowl_itf_juniors1	5/17/2011	5/21/2011	AUT	Clay			0	1036
2011	china-junior-8---beijing_itf_juniors0	5/17/2011	5/22/2011	CHN	Hard			0	1037
2011	china-junior-8---beijing_itf_juniors1	5/17/2011	5/22/2011	CHN	Hard			0	1038
2012	29th-international-tournament-of-salsomaggiore_itf_juniors1	4/30/2012	5/6/2012	ITA	Clay			0	1039
2011	"47th-astrid-bowl-charleroi,-belgian-international-junior-championships_itf_juniors0"	5/23/2011	5/28/2011	BEL	Clay			0	1040
2011	"47th-astrid-bowl-charleroi,-belgian-international-junior-championships_itf_juniors1"	5/23/2011	5/28/2011	BEL	Clay			0	1041
2011	copa-cariari_itf_juniors0	5/23/2011	5/28/2011	CRC	Hard			0	1042
2012	36th-sibiu-medias-sen-junior-itf-tournament_itf_juniors0	5/1/2012	5/6/2012	ROU	Clay			0	1043
2012	36th-sibiu-medias-sen-junior-itf-tournament_itf_juniors1	5/1/2012	5/6/2012	ROU	Clay			0	1044
2012	jitic_itf_juniors0	5/1/2012	5/6/2012	MEX	Hard			0	1045
2012	jitic_itf_juniors1	5/1/2012	5/6/2012	MEX	Hard			0	1046
1997	greece-2-masters_itf_procircuit1	5/10/1997	6/8/1997	GRE	Hard			25	1047
2012	enka-gallipoli-cup_itf_juniors0	5/7/2012	5/12/2012	TUR	Hard			0	1048
2013	copa-guga-kuerten_itf_juniors0	10/14/2013	10/20/2013	BRA	Clay			0	1049
2013	copa-guga-kuerten_itf_juniors1	10/14/2013	10/20/2013	BRA	Clay			0	1050
1994	spain-2-masters_itf_procircuit1	3/4/1994	4/3/1994	ESP	Clay			25	1051
1997	greece-2-masters_itf_procircuit2	5/10/1997	6/8/1997	GRE	Hard			25	1052
1997	greece-2-masters_itf_procircuit3	5/10/1997	6/8/1997	GRE	Hard			25	1053
1997	greece-2-masters_itf_procircuit0	5/10/1997	6/8/1997	GRE	Hard			25	1054
2004	spain-f18-futures_itf_procircuit0	8/9/2004	8/15/2004	ESP	Clay			25	1055
2004	brazil-f3-futures_itf_procircuit0	8/16/2004	8/22/2004	BRA	Hard			25	1056
